Mental Model,Category,Subcategory,Type,Key Application,Description,Sources,Is Duplicate,Wikipedia URL
"10,000 Hour Rule",Skill Development,Deliberate Practice,Learning Principle,,"Approximately 10,000 hours of deliberate practice needed to achieve mastery",99 Mental Models; Angela Duckworth (Grit); Malcolm Gladwell; Malcolm Gladwell (Outliers); Outliers,No,"https://en.wikipedia.org/wiki/10,000-Hour_Rule"
100+ mental models (contains Parrish Vol 1 + extensive additional models),Comprehensive Reference,Master Database,Reference Database,,,Farnam Street; fs.blog,No,
100+ mental models organized by discipline,Comprehensive Reference,Main Database,Reference Source,,,Farnam Street,No,
1% Rule,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/1%25_rule
2×2 Matrix Diagram,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
5 Whys,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/5_Whys
5 Whys Principle,Problem Analysis,,Problem-Solving Method,,Drill down to root cause,Clear Thinking; SuperThinking,No,
90+ mental models across disciplines,Comprehensive Reference,Curated List,Curated Reference,,,Sloww; sloww.co,No,
99 additional mental models available,Comprehensive Reference,By Rolf Dobelli,Reference Source,,,The Art of Thinking Clearly,No,
99 distinct cognitive biases and thinking errors (separate comprehensive source),Cognitive Biases,Reference,Bias Collection,,,Rolf Dobelli; The Art of Thinking Clearly,No,
Abilene Paradox,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Abilene_paradox
Ability,Behavior Change,Habit Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits,No,https://en.wikipedia.org/wiki/Ability
Ability to Raise Prices,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,
Accountability Mirror,Self-Assessment,,Self-Improvement Tool,,Face unvarnished truth of current situation to drive change,David Goggins (Can't Hurt Me),No,
Activation Energy,"Physics, Chemistry, Biology",Chemistry,Chemistry Principle,,Minimum energy required to initiate a process; applies to behavior change,Behavior Science; Chemistry; Great Mental Models Vol 2; Shane Parrish; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2; SuperThinking,No,https://en.wikipedia.org/wiki/Activation_energy
Activation Energy & Catalyst,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Active Listening,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Active_Listening
Ad Hominem Attack,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Ad_hominem_attack
Adverse Selection,Economics and Art,Economics,Economic Principle,,Information imbalance worst,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Adverse_selection
Agricultural Revolution,Historical Turning Points,Social Organization,Historical Framework,,"Shift from hunting-gathering to farming, creating permanent settlements and hierarchies",Sapiens; Yuval Noah Harari; Yuval Noah Harari (Sapiens),No,https://en.wikipedia.org/wiki/Agricultural_revolution
Algorithm-Based Decision Making,Business & Life,Decision Making,Decision Framework,,,Principles; Ray Dalio,No,
Algorithm-Based Decisions,Decisions,Algorithms,Decision Framework,,,Principles; Ray Dalio,No,
